t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.635999999999999943e+01,4.000000000000000000e+00,6.151426979723327859e-01,2.862989330096769258e+00,-4.334712847156880766e-01,-1.737413032756445486e-01,1.256749506267935135e-01,-8.334910473761190930e-03,1.140516764656660798e-01,-5.278644059242883907e-02,-5.736399835717315328e-03,-9.218919287459525699e-03,-2.419757859826924748e-03,9.167066767933131121e-04,-6.822579593897333261e-01
4.638000000000000256e+01,4.000000000000000000e+00,6.174225810012317073e-01,2.861931758723704977e+00,-4.351867979173842937e-01,-1.739087810904208775e-01,1.256479464529871581e-01,-8.412359180405403619e-03,1.139364656981157464e-01,-5.297063556419560892e-02,-5.784617531744489297e-03,-9.200574348206085051e-03,-2.401941644882106368e-03,9.177689843924109140e-04,-6.829290648826227272e-01
4.640000000000000568e+01,4.000000000000000000e+00,6.197001501951355795e-01,2.860870507121571205e+00,-4.369036319959437864e-01,-1.740777769892281335e-01,1.256202863681110948e-01,-8.486709853750206214e-03,1.138202941678704283e-01,-5.315446343201741392e-02,-5.832474708929842599e-03,-9.182209257836837155e-03,-2.383706545670335932e-03,9.187218297042586959e-04,-6.836062935685113251e-01
4.642000000000000171e+01,4.000000000000000000e+00,6.219753864114511144e-01,2.859805582636333998e+00,-4.386217923602235835e-01,-1.742482284711945606e-01,1.255919774345037321e-01,-8.557908532973381929e-03,1.137031691688542567e-01,-5.333792381474750099e-02,-5.879963024104215355e-03,-9.163826203051341282e-03,-2.365056029542071843e-03,9.195654706658550406e-04,-6.842893960874855130e-01
4.644000000000000483e+01,4.000000000000000000e+00,6.242482706551284455e-01,2.858736992621141226e+00,-4.403412838484297986e-01,-1.744200719598925364e-01,1.255630268752855327e-01,-8.625901627090294677e-03,1.135850981611549043e-01,-5.352101637492024527e-02,-5.927074204389385682e-03,-9.145427365191326208e-03,-2.345993658239248041e-03,9.203001851227199772e-04,-6.849781187202063082e-01
4.646000000000000085e+01,4.000000000000000000e+00,6.265187840819687048e-01,2.857664744435456594e+00,-4.420621107199111943e-01,-1.745932428109620571e-01,1.255334420725655875e-01,-8.690635937647373313e-03,1.134660887695990300e-01,-5.370374081863991955e-02,-5.973800049085872116e-03,-9.127014919842527801e-03,-2.326523087895313469e-03,9.209262708288994256e-04,-6.856722034157816115e-01
4.648000000000000398e+01,4.000000000000000000e+00,6.287869080019049539e-01,2.856588845444184788e+00,-4.437842766470664890e-01,-1.747676753201942157e-01,1.255032305656076375e-01,-8.752058682252168015e-03,1.133461487822898239e-01,-5.388609689546169923e-02,-6.020132431560781122e-03,-9.108591036436517949e-03,-2.306648069035193913e-03,9.214440454469621615e-04,-6.863713878215075281e-01
4.650000000000000000e+01,4.000000000000000000e+00,6.310526238822522505e-01,2.855509303016808165e+00,-4.455077847073663500e-01,-1.749433027320959899e-01,1.254724000489546298e-01,-8.810117518948385254e-03,1.132252861491065826e-01,-5.406808439826440993e-02,-6.066063301135639872e-03,-9.090157877852524798e-03,-2.286372446575318015e-03,9.218538465480017674e-04,-6.870754053145712303e-01
4.652000000000000313e+01,4.000000000000000000e+00,6.333159133509289607e-01,2.854426124526517228e+00,-4.472326373754975659e-01,-1.751200572489482188e-01,1.254409583705135001e-01,-8.864760571441716169e-03,1.131035089801670362e-01,-5.424970316311576723e-02,-6.111584684974209064e-03,-9.071717600019272090e-03,-2.265700159823609040e-03,9.221560316116358741e-04,-6.877839850357629903e-01
4.654000000000000625e+01,4.000000000000000000e+00,6.355767581996440985e-01,2.853339317349351756e+00,-4.489588365156302885e-01,-1.752978700403799994e-01,1.254089135295984592e-01,-8.915936455183482226e-03,1.129808255442513870e-01,-5.443095306912910936e-02,-6.156688689970323501e-03,-9.053272351516813282e-03,-2.244635242479478369e-03,9.223509780260046422e-04,-6.884968519253016339e-01
